Major,Number,,,Department,Faculty,,,,,,,,,
Music,2,Civil Engineering,3,,,,,,Neuroscience|Psychology,Karen Murphy,,,Statistics,David Banks
Philosophy,2,Environmental Engineering,3,,,,,,Political Science,Kyle Beardsley,,,Student Affairs,Dean Sue
Sociology,2,Evanth,3,,,,,,Public Policy,Bill Adair,,,,
Culanth,1,Physics,3,,,,,,Public Policy,Philip Napoli,,,,
Education,1,Art History,2,,,,,,Public Policy,Alma Blount,,,,
French,1,EOS,2,,,,,,Public Policy|Political Science,Frederick Mayer,,,,
Interdeparmental Study,1,Interdepartmental Major,2,,,,,,Public Policy|Political Science,Bruce Jentleson,,,,
Linguistics,1,Linguistics,2,,,,,,Religious Studies,Carol and Eric Meyers,,,,
Pre-Health,1,Sociology,2,,,,,,Romance Studies,Deborah Jenson,,,,
Visual and Media Studies,1,Biophysics,1,,,,,,Romance Studies,Laura Casa,,,,
,,Comp Bio ,1,,,,,,Science and Society,Buz Waitzkin,,,,
,,Education,1,,,,,,Sociology,Gilbert Merkx,,,,
,,"Gender, Sexuality, and Feminist",1,,,,,,Sociology,Gary Gereffi,,,,
,,,,,,,,,,,,,,
,,,,,,20,15,,,37,8,,,
,,,,,,,300,,,,296,,,
,,,,,,,,,,,,,,
Spring 2018,,,,,,,,,,,,,,
FacultyKey,Department,Week,Day of Week,Date,Topic,Where,ID,FacultyName,,,,,,
hartemink,Biology,week7,Tuesday,4/3/18,Using Technology Well,Durham,1,Alexander Hartemink,,,,,,
blount,Public Policy,week9,Wednesday,4/18/18,"Reading, Writing, and Finding Time to Think",Durham,2,Alma Blount,,,,,,
hilton,Electrical & Computer Engineering,week2,Tuesday,2/20/18,Graduate School,Durham,3,Andrew Hilton,,,,,,
pusey,Evolutionary Anthropology,week6,Wednesday,3/28/18,What makes us human?,Durham,4,Anne Pusey,,,,,,
chilkoti,Biomedical Engineering,week2,Thursday,2/22/18,General Convoo,Durham,5,Ashutosh Chilkoti,,,,,,
adair,Public Policy,week1,Monday,2/12/18,Partisan News and Echo Chambers,Durham,6,Bill Adair,,,,,,
jentleson,Public Policy|Political Science,week6,Monday,3/26/18,What role should the US play in the 21st Century?,Durham,7,Bruce Jentleson,,,,,,
waitzkin,Science and Society,week1,Tuesday,2/13/18,Challenges of Health Policy,Durham,8,Buz Waitzkin,,,,,,
meyers,Religious Studies,week5,Wednesday,3/21/18,Unearthing Duke's Past and Looking Forward to Duke's Future,On Campus,9,Carol and Eric Meyers,,,,,,
folch,Cultural Anthropology,week7,Wednesday,4/4/18,How students can get involved in energy and sustainability,On Campus,10,Christine Folch,,,,,,
fullenkamp,Economics,week5,Thursday,3/22/18,How are values shaped by society?,Durham,11,Connel Fullenkamp,,,,,,
jenson,Romance Studies,week2,Monday,2/19/18,Humanities as a Blueprint for Lifelong Learning,Durham,12,Deborah Jenson,,,,,,
bucholz,Biomedical Engineering,week2,Monday,2/19/18,Women in Engineering,Cary,13,Elizabeth Bucholz,,,,,,
mayer,Public Policy|Political Science,week5,Wednesday,3/21/18,Getting Beyond the Gridlock,Durham,14,Frederick Mayer,,,,,,
gereffi,Sociology,week8,Tuesday,4/10/18,The Changing Role of the US in a globalized world,Durham,15,Gary Gereffi,,,,,,
merkx,Sociology,week4,Wednesday,3/7/18,Development amidst Globalization,On Campus,16,Gilbert Merkx,,,,,,
roberts,Economics,week9,Thursday,4/19/18,"Once you've left Duke, then what?",Chapel Hill,17,James Roberts,,,,,,
forbes,Computer Science,week4,Monday,3/5/18,Equity in Technology,Chapel Hill,18,Jeffrey Forbes,,,,,,
